hall_key,hall_name,report_date,weekday,report_url,report_id,event_type,event_note,total_diff,avg_diff,avg_game,featured,collected_at,raw_path
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-20,火,https://min-repo.com/2371198/,2371198,,,19190,56,1716,,2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-19,月,https://min-repo.com/2368677/,2368677,,,,,1411,"▲スマスロ 緑ドン VIVA!情熱南米編 REVIVAL
▲吉宗",2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-18,日,https://min-repo.com/2366161/,2366161,満遍なく設定,1の位が8の日。各機種に満遍なく設定が入る想定。,26862,79,3327,"▲スマスロ モンスターハンターライズ
▲スマスロ痛いのは嫌なので防御力に極振りしたいと思います。",2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-17,土,https://min-repo.com/2364668/,2364668,,,,,1927,,2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-16,金,https://min-repo.com/2362637/,2362637,,,53866,158,1456,"☆Lパチスロ 機動戦士ガンダムSEED
▲スマスロ 緑ドン VIVA!情熱南米編 REVIVAL
▲スマスロ マギアレコード 魔法少女まどか☆マギカ外伝",2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-15,木,https://min-repo.com/2360298/,2360298,,,557,2,1658,"☆スマスロ マギアレコード 魔法少女まどか☆マギカ外伝
◯マイジャグラーV
▲スマスロ 緑ドン VIVA!情熱南米編 REVIVAL",2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-14,水,https://min-repo.com/2357898/,2357898,満遍なく設定,1の位が4の日。各機種に満遍なく設定が入る想定。,37318,109,3096,"☆L ToLOVEるダークネス
▲スマスロ マギアレコード 魔法少女まどか☆マギカ外伝
▲吉宗",2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-13,火,https://min-repo.com/2356870/,2356870,,,,,1253,☆ジャグラーガールズSS,2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-12,月,https://min-repo.com/2354544/,2354544,,,,,1953,,2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-11,日,https://min-repo.com/2352750/,2352750,,,12239,36,2422,☆Lゴジラ,2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-10,土,https://min-repo.com/2350152/,2350152,,,,,2440,,2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-08,木,https://min-repo.com/2345812/,2345812,満遍なく設定,1の位が8の日。各機種に満遍なく設定が入る想定。,18893,55,3016,"◯押忍！番長ＺＥＲＯ
◯ジャグラーガールズSS
▲スマスロ ゴッドイーター リザレクション
▲吉宗
▲Lゴジラ
▲スマスロモンキーターンV",2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-07,水,https://min-repo.com/2344458/,2344458,,,,,2538,▲押忍！番長ＺＥＲＯ,2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-06,火,https://min-repo.com/2342278/,2342278,,,,,2564,,2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-05,月,https://min-repo.com/2339855/,2339855,,,144136,421,4623,"☆ハッピージャグラーＶＩＩＩ
◎ファンキージャグラー２ＫＴ
▲スマスロ バイオハザード5
▲スロット ゾンビランドサガ
▲Lゴジラ
▲末尾4",2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
%E3%82%A2%E3%82%A6%E3%83%88%E3%83%90%E3%83%BC%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%83%84,アウトバーンブリッツ,2025-05-04,日,https://min-repo.com/2337609/,2337609,満遍なく設定,1の位が4の日。各機種に満遍なく設定が入る想定。,40356,118,4003,"☆押忍！番長4
◎スマスロ ゴッドイーター リザレクション
▲Lパチスロ炎炎ノ消防隊",2026-05-13T14:23:03,data/raw/2026-05-13/_E3_82_A2_E3_82_A6_E3_83_88_E3_83_90_E3_83_BC_E3_83_B3_E3_83_96_E3_83_AA_E3_83_83_E3_83_84_list.html
